assignment_vector,y_obs,rnd_vector,x,x2
-1,-1,1,2.569524139,5.573728729
1,1,1,2.457091283,5.617377412
1,1,1,2.343936023,5.658762137
1,1,1,2.230103871,5.697871382
-1,-1,1,2.115640511,5.734694541
1,1,1,2.000591784,5.769221921
1,1,1,1.885003666,5.801444749
-1,-1,1,1.768922252,5.831355171
-1,1,1,1.652393739,5.858946252
1,1,1,1.535464403,5.88421198
-1,-1,1,1.418180585,5.907147266
-1,-1,1,1.300588673,5.927747942
1,1,1,1.182735077,5.946010762
1,1,1,1.06466622,5.961933403
-1,1,1,0.946428513,5.975514461
1,1,1,0.82806834,5.986753451
-1,-1,1,0.709632037,5.995650809
-1,-1,1,0.591165878,6.002207883
-1,1,1,0.472716052,6.006426936
-1,-1,1,0.354328649,6.008311141
-1,-1,1,0.236049642,6.00786458
1,1,1,0.117924865,6.005092238
1,1,1,3.67E-16,6
1,1,1,-0.117679444,5.992594648
1,1,1,-0.235068147,5.982883854
1,1,1,-0.352120994,5.970876181
1,-1,1,-0.468793097,5.956581069
1,1,1,-0.585039806,5.940008837
1,1,1,-0.700816732,5.921170675
1,1,1,-0.81607976,5.900078634
1,1,1,-0.930785067,5.876745627
-1,-1,1,-1.044889139,5.851185414
-1,-1,1,-1.158348787,5.823412602
-1,-1,1,-1.271121164,5.793442634
1,1,1,-1.383163781,5.761291778
1,1,1,-1.494434521,5.726977128
-1,-1,1,-1.60489166,5.690516586
-1,1,1,-1.714493875,5.651928858
1,1,1,-1.823200267,5.611233446
-1,-1,1,-1.930970371,5.568450636
1,1,1,-2.037764174,5.52360149
1,1,1,-2.143542127,5.476707835
-1,-1,1,-2.248265165,5.427792254
-1,-1,1,-2.351894714,5.376878073
-1,-1,1,-2.454392711,5.323989357
1,1,1,-2.555721616,5.269150888
-1,-1,1,-2.655844423,5.212388167
-1,-1,1,-2.754724681,5.153727389
1,-1,1,-2.852326497,5.093195441
1,1,1,-2.948614559,5.030819888
1,-1,1,-3.043554139,4.966628957
1,1,1,-3.137111116,4.900651529
-1,-1,1,-3.229251979,4.832917122
1,1,1,-3.319943844,4.763455881
-1,-1,1,-3.409154463,4.692298567
-1,-1,1,-3.496852239,4.619476538
1,1,1,-3.583006232,4.545021737
-1,-1,1,-3.667586174,4.468966684
-1,-1,1,-3.750562479,4.391344451
-1,-1,1,-3.831906251,4.312188661
-1,-1,1,-3.911589296,4.231533461
-1,-1,1,-3.989584131,4.149413516
-1,1,1,-4.065863992,4.065863992
-1,-1,1,-4.140402846,3.980920539
1,1,1,-4.213175398,3.894619277
1,1,1,-4.284157098,3.806996785
1,1,1,-4.353324153,3.718090077
1,1,1,-4.42065353,3.627936594
1,1,1,-4.486122968,3.536574185
1,1,1,-4.549710981,3.444041094
1,1,1,-4.611396868,3.350375938
-1,1,1,-4.671160719,3.255617699
1,1,1,-4.72898342,3.1598057
-1,-1,1,-4.784846659,3.062979597
1,1,1,-4.838732933,2.965179355
-1,-1,1,-4.890625551,2.866445235
-1,-1,1,-4.94050864,2.76681778
1,-1,1,-4.988367151,2.666337793
-1,-1,1,-5.034186862,2.565046324
1,1,1,-5.077954378,2.462984652
-1,-1,1,-5.119657142,2.36019427
1,1,1,-5.159283434,2.256716866
-1,-1,1,-5.19682237,2.152594307
1,1,1,-5.232263915,2.047868621
-1,-1,1,-5.265598873,1.942581983
1,1,1,-5.296818898,1.836776694
1,1,1,-5.325916491,1.730495168
-1,-1,1,-5.352885003,1.623779913
1,1,1,-5.377718634,1.516673514
-1,-1,1,-5.400412434,1.409218614
1,1,1,-5.420962306,1.301457903
1,1,1,-5.439365002,1.193434096
1,1,1,-5.455618122,1.085189916
1,1,1,-5.469720119,0.97676808
1,1,1,-5.48167029,0.868211281
-1,-1,1,-5.491468781,0.759562169
-1,1,1,-5.49911658,0.650863338
1,-1,1,-5.504615519,0.542157307
-1,-1,1,-5.507968269,0.433486504
1,1,1,-5.509178336,0.324893248
-1,-1,1,-5.508250062,0.216419734
1,1,1,-5.505188618,0.108108019
-1,-1,1,-5.5,6.74E-16
-1,-1,1,-5.492691027,-0.107862598
-1,-1,1,-5.483269336,-0.215438239
-1,-1,1,-5.471743376,-0.322685593
-1,-1,1,-5.458122402,-0.429563549
1,1,1,-5.442416474,-0.536031236
-1,-1,1,-5.424636446,-0.642048034
1,1,1,-5.404793964,-0.747573589
-1,-1,1,-5.382901456,-0.852567834
1,1,1,-5.35897213,-0.956990999
1,1,1,-5.333019962,-1.060803626
-1,-1,1,-5.305059693,-1.163966588
1,1,1,-5.275106818,-1.266441099
1,1,1,-5.243177582,-1.368188733
1,1,1,-5.209288967,-1.469171435
-1,-1,1,-5.17345869,-1.569351536
1,1,1,-5.135705188,-1.66869177
-1,1,1,-5.096047613,-1.767155281
-1,-1,1,-5.054505822,-1.864705645
1,1,1,-5.011100368,-1.961306877
-1,-1,1,-4.965852487,-2.056923449
1,1,1,-4.918784095,-2.151520298
-1,-1,1,-4.86991777,-2.245062843
1,1,1,-4.819276746,-2.337516995
1,1,1,-4.766884904,-2.428849174
-1,-1,1,-4.712766756,-2.519026312
-1,-1,1,-4.656947438,-2.608015876
-1,-1,1,-4.599452695,-2.695785872
1,1,1,-4.540308875,-2.782304857
-1,1,1,-4.479542912,-2.867541955
-1,-1,1,-4.417182315,-2.951466863
-1,1,1,-4.35325516,-3.034049864
-1,-1,1,-4.28779007,-3.115261837
1,1,1,-4.220816211,-3.195074268
-1,-1,1,-4.152363272,-3.273459257
1,1,1,-4.082461457,-3.350389532
-1,-1,1,-4.011141469,-3.425838455
1,1,1,-3.938434497,-3.499780032
-1,-1,1,-3.864372206,-3.572188923
-1,-1,1,-3.788986718,-3.643040449
1,1,1,-3.712310601,-3.712310601
1,1,1,-3.634376857,-3.779976048
-1,-1,1,-3.555218905,-3.846014143
-1,-1,1,-3.474870566,-3.910402935
-1,-1,1,-3.393366053,-3.97312117
-1,-1,1,-3.310739952,-4.034148303
1,1,1,-3.227027211,-4.093464502
-1,-1,1,-3.142263123,-4.151050654
-1,-1,1,-3.056483312,-4.206888371
-1,-1,1,-2.969723718,-4.260959997
1,1,1,-2.882020584,-4.313248614
1,1,1,-2.793410436,-4.363738042
-1,-1,1,-2.703930072,-4.412412851
1,1,1,-2.613616549,-4.459258358
1,-1,1,-2.522507159,-4.504260637
1,1,1,-2.430639424,-4.547406519
1,1,1,-2.338051074,-4.5886836
1,1,1,-2.244780032,-4.628080236
-1,-1,1,-2.150864402,-4.665585556
-1,-1,1,-2.05634245,-4.701189455
1,1,1,-1.961252591,-4.734882604
-1,-1,1,-1.865633371,-4.766656447
1,1,1,-1.769523454,-4.796503205
-1,-1,1,-1.672961604,-4.824415875
1,1,1,-1.575986671,-4.850388233
1,1,1,-1.478637575,-4.874414835
-1,1,1,-1.380953289,-4.896491015
-1,-1,1,-1.282972826,-4.916612888
1,1,1,-1.184735222,-4.934777346
-1,-1,1,-1.08627952,-4.950982061
-1,-1,1,-0.987644755,-4.965225482
-1,1,1,-0.88886994,-4.977506835
1,1,1,-0.789994048,-4.98782612
-1,-1,1,-0.691055998,-4.996184111
-1,-1,1,-0.59209464,-5.002582352
-1,-1,1,-0.493148737,-5.007023156
-1,-1,1,-0.394256956,-5.009509602
-1,-1,1,-0.295457846,-5.010045531
-1,-1,1,-0.196789826,-5.008635544
-1,-1,1,-0.098291173,-5.005284998
-1,-1,1,-9.18E-16,-5
1,1,1,0.098045752,-4.992787407
-1,-1,1,0.195808331,-4.983654818
1,1,1,0.293250191,-4.972610571
-1,-1,1,0.390334001,-4.959663735
-1,-1,1,0.487022666,-4.944824111
1,-1,1,0.583279335,-4.928102218
-1,-1,1,0.679067418,-4.909509294
-1,-1,1,0.774350602,-4.889057286
-1,-1,1,0.869092859,-4.866758846
-1,-1,1,0.963258465,-4.842627322
1,1,1,1.056812011,-4.816676752
-1,-1,1,1.149718417,-4.788921858
1,1,1,1.241942944,-4.759378036
-1,-1,1,1.33345121,-4.728061349
-1,-1,1,1.424209198,-4.694988522
1,1,1,1.514183272,-4.66017693
1,1,1,1.603340191,-4.62364459
-1,-1,1,1.691647116,-4.585410154
-1,-1,1,1.779071628,-4.5454929
1,1,1,1.865581733,-4.503912721
-1,-1,1,1.951145881,-4.460690116
1,1,1,2.035732974,-4.415846183
1,-1,1,2.119312375,-4.369402604
1,1,1,2.201853924,-4.321381642
1,1,1,2.283327944,-4.271806124
1,1,1,2.363705256,-4.220699434
-1,-1,1,2.442957185,-4.168085502
1,1,1,2.521055575,-4.113988793
-1,-1,1,2.597972794,-4.058434295
1,1,1,2.673681746,-4.001447509
1,1,1,2.748155884,-3.943054438
-1,-1,1,2.821369211,-3.883281573
1,1,1,2.893296297,-3.822155884
1,1,1,2.963912282,-3.759704807
1,1,1,3.03319289,-3.69595623
1,1,1,3.101114431,-3.630938486
1,1,1,3.167653813,-3.564680334
-1,-1,1,3.232788551,-3.497210951
-1,1,1,3.296496768,-3.428559919
-1,-1,1,3.358757211,-3.358757211
1,1,1,3.419549249,-3.287833176
-1,1,1,3.478852888,-3.215818532
-1,-1,1,3.536648771,-3.142744347
1,1,1,3.592918187,-3.068642028
-1,-1,1,3.647643077,-2.99354331
-1,-1,1,3.700806037,-2.917480236
-1,-1,1,3.752390327,-2.840485152
1,1,1,3.802379874,-2.762590686
-1,-1,1,3.850759276,-2.683829738
1,1,1,3.897513808,-2.604235467
-1,-1,1,3.942629425,-2.523841274
1,1,1,3.986092768,-2.44268079
-1,1,1,4.027891165,-2.360787862
1,-1,1,4.068012633,-2.278196538
1,-1,1,4.106445887,-2.194941056
-1,-1,1,4.143180337,-2.111055824
-1,1,1,4.178206094,-2.026575411
-1,-1,1,4.211513969,-1.941534533
-1,-1,1,4.243095476,-1.855968033
1,1,1,4.272942838,-1.769910875
1,1,1,4.30104898,-1.683398121
1,1,1,4.327407537,-1.596464926
-1,-1,1,4.352012852,-1.509146515
1,1,1,4.374859975,-1.421478174
1,-1,1,4.395944667,-1.333495236
1,1,1,4.415263397,-1.245233064
-1,-1,1,4.432813342,-1.156727037
-1,1,1,4.448592386,-1.06801254
1,1,1,4.46259912,-0.979124943
1,1,1,4.474832842,-0.890099594
1,1,1,4.485293551,-0.8009718
1,1,1,4.49398195,-0.711776816
-1,-1,1,4.500899441,-0.622549828
1,1,1,4.506048123,-0.533325941
1,1,1,4.509430793,-0.444140167
1,1,1,4.511050935,-0.355027408
1,1,1,4.510912726,-0.266022444
-1,1,1,4.509021026,-0.177159919
-1,-1,1,4.505381377,-0.088474327
-1,-1,1,4.5,-1.10E-15
1,1,1,4.492883787,0.088228905
1,1,1,4.4840403,0.176178423
1,-1,1,4.473477766,0.263814789
1,1,1,4.461205068,0.351104453
-1,-1,1,4.447231747,0.438014096
-1,-1,1,4.431567989,0.524510636
-1,-1,1,4.414224623,0.610561248
1,1,1,4.395213116,0.696133369
1,1,1,4.374545562,0.781194719
1,1,1,4.352234682,0.865713304
1,1,1,4.328293812,0.949657435
-1,-1,1,4.302736898,1.032995735
-1,-1,1,4.275578489,1.115697156
1,1,1,4.246833731,1.197730985
1,1,1,4.216518354,1.279066859
-1,-1,1,4.184648672,1.359674775
1,1,1,4.151241567,1.439525101
-1,-1,1,4.116314486,1.518588588
1,1,1,4.079885433,1.596836378
1,1,1,4.041972955,1.674240017
-1,-1,1,4.002596138,1.750771465
-1,-1,1,3.961774596,1.826403105
1,1,1,3.919528462,1.901107755
1,1,1,3.87587838,1.974858674
-1,-1,1,3.830845492,2.047629576
1,1,1,3.784451431,2.119394635
-1,1,1,3.736718309,2.190128498
1,1,1,3.687668711,2.259806292
-1,-1,1,3.637325678,2.328403632
-1,-1,1,3.585712703,2.39589663
-1,-1,1,3.532853716,2.462261904
1,1,1,3.478773076,2.527476585
-1,-1,1,3.423495557,2.591518326
1,1,1,3.367046341,2.654365308
1,1,1,3.309451003,2.715996248
-1,-1,1,3.250735503,2.776390407
-1,-1,1,3.19092617,2.835527594
1,-1,1,3.130049696,2.893388178
1,1,1,3.068133121,2.949953087
-1,1,1,3.00520382,3.00520382
-1,-1,1,2.941289495,3.059122451
1,1,1,2.876418159,3.111691634
-1,1,1,2.810618128,3.162894608
-1,1,1,2.743918004,3.212715205
1,1,1,2.676346668,3.26113785
-1,-1,1,2.607933261,3.308147571
1,1,1,2.538707181,3.35373
-1,-1,1,2.46869806,3.397871376
-1,-1,1,2.397935758,3.440558554
1,1,1,2.326450351,3.481779002
-1,-1,1,2.254272113,3.521520808
1,1,1,2.181431508,3.559772686
-1,-1,1,2.107959175,3.596523972
-1,-1,1,2.033885918,3.631764629
-1,-1,1,1.959242687,3.665485255
1,1,1,1.884060574,3.697677075
-1,-1,1,1.808370791,3.728331952
-1,-1,1,1.732204664,3.757442382
-1,-1,1,1.655593617,3.785001498
1,1,1,1.578569159,3.811003072
1,1,1,1.501162871,3.835441513
-1,1,1,1.423406397,3.858311869
1,-1,1,1.345331425,3.879609828
-1,-1,1,1.266969677,3.899331717
-1,-1,1,1.188352898,3.917474499
1,1,1,1.109512839,3.934035779
-1,-1,1,1.030481249,3.949013796
1,1,1,0.951289858,3.962407426
1,1,1,0.871970367,3.97421618
-1,-1,1,0.792554433,3.984440202
1,1,1,0.71307366,3.993080267
1,1,1,0.633559583,4.000137779
1,1,1,0.554043657,4.00561477
-1,-1,1,0.474557242,4.009513895
1,1,1,0.395131597,4.011838429
-1,-1,1,0.31579786,4.012592268
1,1,1,0.236587042,4.011779921
1,1,1,0.157530011,4.009406508
-1,-1,1,0.07865748,4.005477757
1,1,1,1.22E-15,4
1,1,1,-0.078412059,3.992980167
1,1,1,-0.156548515,3.984425782
1,1,1,-0.234379387,3.974344961
1,1,1,-0.311874906,3.962746402
-1,1,1,-0.389005526,3.949639384
-1,-1,1,-0.465741937,3.935033761
-1,-1,1,-0.542055077,3.918939953
1,1,1,-0.617916137,3.901368945
-1,-1,1,-0.693296579,3.882332278
1,1,1,-0.768168143,3.861842042
1,1,1,-0.842502858,3.839910871
1,1,1,-0.916273053,3.816551938
1,1,1,-0.989451367,3.791778943
1,1,1,-1.06201076,3.765606113
-1,-1,1,-1.133924521,3.738048186
1,1,1,-1.205166278,3.709120414
-1,-1,1,-1.275710012,3.678838543
-1,-1,1,-1.345530059,3.647218818
-1,1,1,-1.414601128,3.614277966
-1,-1,1,-1.4828983,3.580033188
-1,-1,1,-1.550397048,3.544502159
1,1,1,-1.617073236,3.507703009
-1,1,1,-1.682903134,3.46965432
1,1,1,-1.747863424,3.430375118
-1,-1,1,-1.811931207,3.38988486
1,1,1,-1.875084014,3.348203427
1,1,1,-1.937299812,3.305351116
1,1,1,-1.99855701,3.261348629
1,-1,1,-2.058834471,3.216217061
1,1,1,-2.118111513,3.169977897
-1,-1,1,-2.176367924,3.122652994
-1,-1,1,-2.233583959,3.074264579
1,1,1,-2.289740355,3.02483523
1,1,1,-2.344818333,2.974387876
-1,1,1,-2.398799606,2.922945777
1,1,1,-2.451666382,2.87053252
1,1,1,-2.503401375,2.817172007
-1,-1,1,-2.553987805,2.762888442
1,1,1,-2.603409406,2.707706323
-1,-1,1,-2.651650429,2.651650429
1,-1,1,-2.698695653,2.594745814
-1,-1,1,-2.744530379,2.537017786
1,1,1,-2.789140445,2.478491909
-1,-1,1,-2.832512222,2.41919398
1,1,1,-2.874632623,2.359150025
-1,-1,1,-2.915489106,2.298386287
-1,-1,1,-2.955069673,2.23692921
-1,-1,1,-2.993362879,2.174805433
1,1,1,-3.030357832,2.112041778
1,1,1,-3.066044195,2.048665234
1,1,1,-3.100412192,1.984702951
-1,-1,1,-3.133452604,1.920182225
1,1,1,-3.165156779,1.855130489
-1,1,1,-3.195516626,1.789575297
1,1,1,-3.224524623,1.723544319
-1,-1,1,-3.252173813,1.657065324
1,1,1,-3.27845781,1.590166171
-1,-1,1,-3.303370795,1.522874795
-1,1,1,-3.326907519,1.4552192
-1,-1,1,-3.349063305,1.387227442
-1,-1,1,-3.369834045,1.318927621
-1,-1,1,-3.389216201,1.250347869
-1,-1,1,-3.407206805,1.181516335
1,1,1,-3.423803459,1.11246118
-1,-1,1,-3.439004332,1.043210559
1,1,1,-3.452808161,0.973792614
-1,-1,1,-3.46521425,0.90423546
-1,-1,1,-3.476222465,0.834567176
1,1,1,-3.485833239,0.76481579
1,1,1,-3.494047561,0.695009272
1,1,1,-3.500866983,0.625175521
-1,-1,1,-3.506293609,0.555342351
-1,-1,1,-3.5103301,0.485537486
1,1,1,-3.512979666,0.415788544
-1,1,1,-3.514246066,0.346123027
-1,-1,1,-3.514133601,0.276568312
-1,-1,1,-3.512647116,0.20715164
1,1,1,-3.50979199,0.137900103
-1,-1,1,-3.505574137,0.068840634
1,1,1,-3.5,1.29E-15
-1,-1,1,-3.493076546,-0.068595213
-1,-1,1,-3.484811264,-0.136918607
1,1,1,-3.475212155,-0.204943985
1,1,1,-3.464287735,-0.272645358
-1,-1,1,-3.452047021,-0.339996956
1,1,1,-3.438499532,-0.406973239
-1,1,1,-3.423655283,-0.473548906
1,1,1,-3.407524775,-0.539698904
1,1,1,-3.390118994,-0.605398439
-1,-1,1,-3.371449401,-0.670622982
1,1,1,-3.35152793,-0.735348281
1,1,1,-3.330366977,-0.799550371
-1,-1,1,-3.307979397,-0.863205579
-1,1,1,-3.284378494,-0.926290535
1,-1,1,-3.259578019,-0.988782182
1,1,1,-3.233592155,-1.050657781
-1,1,1,-3.20643552,-1.111894922
1,1,1,-3.17812315,-1.172471531
1,1,1,-3.148670498,-1.232365878
1,1,1,-3.118093422,-1.291556584
-1,-1,1,-3.086408181,-1.350022632
1,1,1,-3.053631422,-1.407743367
-1,-1,1,-3.019780178,-1.464698514
1,1,1,-2.984871856,-1.520868174
1,1,1,-2.948924228,-1.576232839
1,1,1,-2.911955424,-1.630773393
-1,-1,1,-2.873983923,-1.684471125
1,1,1,-2.835028546,-1.737307728
-1,1,1,-2.795108444,-1.789265309
1,1,1,-2.754243091,-1.840326397
1,1,1,-2.712452273,-1.890473944
-1,-1,1,-2.669756081,-1.939691333
1,1,1,-2.626174903,-1.987962384
1,1,1,-2.58172941,-2.035271358
1,1,1,-2.53644055,-2.081602964
1,-1,1,-2.490329537,-2.126942358
1,1,1,-2.443417843,-2.171275156
-1,-1,1,-2.395727187,-2.214587432
-1,-1,1,-2.347279524,-2.256865724
-1,-1,1,-2.298097039,-2.298097039
1,1,1,-2.248202132,-2.338268854
1,1,1,-2.197617414,-2.377369124
1,1,1,-2.14636569,-2.415386281
1,1,1,-2.094469956,-2.452309239
1,-1,1,-2.041953383,-2.488127397
-1,-1,1,-1.988839312,-2.52283064
-1,-1,1,-1.935151239,-2.556409346
-1,-1,1,-1.880912807,-2.588854382
1,1,1,-1.826147798,-2.62015711
-1,-1,1,-1.770880118,-2.650309389
-1,1,1,-1.71513379,-2.679303575
1,1,1,-1.658932943,-2.707132522
-1,-1,1,-1.602301802,-2.733789586
1,1,1,-1.545264676,-2.759268622
1,1,1,-1.487845951,-2.783563991
-1,-1,1,-1.430070074,-2.806670551
-1,-1,1,-1.37196155,-2.828583668
-1,-1,1,-1.313544927,-2.849299208
-1,-1,1,-1.254844784,-2.868813541
1,-1,1,-1.195885726,-2.887123539
1,1,1,-1.136692371,-2.904226578
-1,-1,1,-1.07728934,-2.920120533
1,1,1,-1.017701245,-2.934803782
1,1,1,-0.957952683,-2.948275201
-1,-1,1,-0.89806822,-2.960534164
1,1,1,-0.838072389,-2.971580543
-1,-1,1,-0.777989672,-2.981414703
1,1,1,-0.717844494,-2.990037505
1,1,1,-0.657661213,-2.997450298
-1,-1,1,-0.597464111,-3.003654921
1,1,1,-0.537277381,-3.008653699
-1,-1,1,-0.477125118,-3.012449439
1,1,1,-0.417031315,-3.01504543
-1,-1,1,-0.357019845,-3.016445438
-1,-1,1,-0.297114457,-3.016653703
-1,-1,1,-0.237338765,-3.015674935
-1,1,1,-0.177716239,-3.013514311
1,1,1,-0.118270195,-3.010177472
-1,-1,1,-0.059023788,-3.005670517
-1,-1,1,-1.29E-15,-3
-1,-1,1,0.058778367,-2.993172926
-1,-1,1,0.1172887,-2.985196746
1,1,1,0.175508583,-2.97607935
-1,-1,1,0.23341581,-2.965829068
-1,-1,1,0.290988385,-2.954454657
-1,-1,1,0.34820454,-2.941965304
1,1,1,0.405042735,-2.928370613
-1,-1,1,0.461481672,-2.913680605
1,1,1,0.517500299,-2.89790571
1,1,1,0.573077821,-2.881056761
1,1,1,0.628193705,-2.86314499
-1,-1,1,0.682827689,-2.844182017
-1,-1,1,0.73695979,-2.824179851
-1,-1,1,0.79057031,-2.803150876
1,1,1,0.843639843,-2.781107851
-1,-1,1,0.896149284,-2.758063897
-1,-1,1,0.948079832,-2.734032497
1,1,1,0.999413002,-2.709027482
-1,-1,1,1.050130628,-2.683063031
-1,-1,1,1.100214868,-2.656153656
-1,-1,1,1.149648215,-2.628314202
1,1,1,1.198413499,-2.599559835
1,1,1,1.246493894,-2.569906036
-1,-1,1,1.293872924,-2.539368594
1,1,1,1.34053447,-2.507963595
-1,-1,1,1.386462773,-2.47570742
-1,-1,1,1.431642438,-2.44261673
-1,-1,1,1.476058445,-2.408708464
1,1,1,1.519696148,-2.373999828
-1,-1,1,1.56254128,-2.338508285
1,1,1,1.604579963,-2.302251551
-1,-1,1,1.645798706,-2.265247584
-1,1,1,1.686184413,-2.227514576
1,1,1,1.725724384,-2.189070945
-1,-1,1,1.764406322,-2.149935323
1,1,1,1.802218334,-2.110126555
-1,-1,1,1.839148937,-2.06966368
1,1,1,1.87518706,-2.028565932
1,1,1,1.910322043,-1.986852726
-1,-1,1,1.944543648,-1.944543648
1,-1,1,1.977842056,-1.901658451
1,1,1,2.01020787,-1.858217041
-1,-1,1,2.041632118,-1.814239471
-1,1,1,2.072106256,-1.769745932
-1,-1,1,2.10162217,-1.724756741
-1,1,1,2.130172175,-1.679292338
1,1,1,2.157749019,-1.633373268
-1,-1,1,2.184345885,-1.587020181
1,1,1,2.209956388,-1.540253818
1,1,1,2.234574583,-1.493095001
1,1,1,2.258194958,-1.445564628
1,1,1,2.28081244,-1.397683661
1,1,1,2.302422393,-1.349473115
1,1,1,2.323020619,-1.300954055
1,1,1,2.342603358,-1.252147582
1,1,1,2.361167289,-1.203074824
1,1,1,2.378709526,-1.15375693
1,1,1,2.395227621,-1.104215058
1,1,1,2.410719562,-1.054470367
-1,-1,1,2.425183773,-1.00454401
1,1,1,2.43861911,-0.954457122
-1,-1,1,2.451024865,-0.904230812
1,1,1,2.462400759,-0.853886155
1,1,1,2.472746942,-0.803444185
1,1,1,2.482063996,-0.752925882
1,1,1,2.490352924,-0.702352164
-1,-1,1,2.497615157,-0.651743883
-1,-1,1,2.503852545,-0.601121812
1,1,1,2.509067358,-0.550506637
1,1,1,2.513262281,-0.49991895
1,1,1,2.516440415,-0.449379241
1,-1,1,2.518605269,-0.398907886
1,1,1,2.51976076,-0.348525144
-1,-1,1,2.51991121,-0.298251146
1,1,1,2.519061339,-0.248105886
-1,-1,1,2.517216268,-0.198109217
1,1,1,2.514381506,-0.148280837
-1,-1,1,2.510562954,-0.098640287
-1,-1,1,2.505766896,-0.049206942
-1,-1,1,2.5,-1.22E-15
1,1,1,2.493269306,0.048961521
1,1,1,2.485582228,0.097658792
1,1,1,2.476946545,0.146073182
-1,-1,1,2.467370401,0.194186262
-1,1,1,2.456862294,0.241979815
1,1,1,2.445431075,0.289435841
1,1,1,2.433085942,0.336536564
-1,-1,1,2.419836434,0.383264439
1,1,1,2.405692426,0.429602159
-1,-1,1,2.390664121,0.47553266
-1,-1,1,2.374762049,0.521039128
-1,-1,1,2.357997057,0.566105007
1,1,1,2.340380305,0.610714002
1,-1,1,2.321923258,0.654850085
-1,-1,1,2.302637683,0.698497505
-1,-1,1,2.282535639,0.741640786
1,1,1,2.261629474,0.784264742
-1,-1,1,2.239931815,0.826354474
-1,-1,1,2.217455563,0.867895378
-1,-1,1,2.19421389,0.908873152
1,1,1,2.170220223,0.949273798
1,1,1,2.145488248,0.98908363
-1,-1,1,2.120031894,1.028289273
1,1,1,2.093865332,1.066877674
-1,-1,1,2.067002963,1.104836102
-1,-1,1,2.039459417,1.142152152
-1,-1,1,2.011249537,1.178813752
1,1,1,1.982388382,1.214809163
1,1,1,1.952891211,1.250126986
1,1,1,1.922773478,1.284756164
-1,-1,1,1.892050829,1.318685983
-1,-1,1,1.860739087,1.35190608
-1,-1,1,1.82885425,1.384406442
1,1,1,1.796412479,1.416177409
1,1,1,1.763430097,1.447209679
-1,-1,1,1.729923572,1.47749431
-1,-1,1,1.695909517,1.507022719
-1,-1,1,1.661404678,1.535786687
1,1,1,1.626425928,1.563778362
-1,-1,1,1.590990258,1.590990258
-1,-1,1,1.55511477,1.617415258
1,1,1,1.518816668,1.643046615
1,1,1,1.482113252,1.667877954
-1,-1,1,1.445021908,1.691903273
-1,-1,1,1.407560099,1.715116943
-1,-1,1,1.369745363,1.73751371
-1,-1,1,1.331595297,1.759088692
1,1,1,1.293127555,1.779837388
-1,-1,1,1.254359838,1.799755667
-1,-1,1,1.215309885,1.818839777
-1,1,1,1.175995467,1.837086341
-1,-1,1,1.136434378,1.854492357
-1,-1,1,1.096644429,1.8710552
-1,-1,1,1.056643435,1.886772615
1,1,1,1.016449214,1.901642726
-1,-1,1,0.976079574,1.915664027
1,1,1,0.93555231,1.928835384
1,1,1,0.894885189,1.941156034
1,1,1,0.854095951,1.952625584
1,1,1,0.813202294,1.963244007
1,1,1,0.772221872,1.973011643
-1,-1,1,0.731172283,1.981929197
-1,-1,1,0.690071066,1.989997735
-1,-1,1,0.648935688,1.997218684
